	__file__ = run_train.py
	fold_dir = result_0525-3D-265-mask-Bspline3/res-0525-3D-265-mask-Bspline3-experiment0/0.5-0.5-0-0/YNetCls_3D/128/fold-all

** dataset setting **
train_dataset : 
	len = 265
	num_patient = 265
	num_image = 265
	\T_Stage0 =   156 (0.589)
	\T_Stage1 =   109 (0.411)

valid_dataset : 
	len = 52
	num_patient = 52
	num_image = 52
	\T_Stage0 =    24 (0.462)
	\T_Stage1 =    28 (0.538)


** Config Setting **
start_lr    : 1e-05
min_lr      : 48
epochs      : 300
num_workers : 16

** net setting **
	initial_checkpoint = None

optimizer
  Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    eps: 1e-07
    foreach: None
    initial_lr: 1e-05
    lr: 1e-05
    maximize: False
    weight_decay: 0.0001
)
scheduler
  <torch.optim.lr_scheduler.StepLR object at 0x7f41b98fd490>

** start training here! **
   batch_size = 8
   experiment = ['run_train.py']
                           |------------------------- VALID -------------------------|---------------- TRAIN/BATCH ----------
rate     iter        epoch | loss    Auc    Acc    Precision    Recall    Specificity|    loss              | time           
--------------------------------------------------------------------------------------------------------------------------
1.25e-6   00006426* 189.00 | 0.3466  0.8765  0.7500  0.7273  0.8571  0.5437  | 0.2641  0.2274  0.0367  0.0000  |  8 hr 34 min
1.25e-6   00006528* 192.00 | 0.3452  0.8899  0.8077  0.8000  0.8571  0.5563  | 0.2630  0.2236  0.0394  0.0000  |  8 hr 42 min
6.25e-7   00006630* 195.00 | 0.3388  0.9033  0.8077  0.7812  0.8929  0.5546  | 0.2722  0.2299  0.0423  0.0000  |  8 hr 50 min
6.25e-7   00006732* 198.00 | 0.3429  0.8973  0.7692  0.7500  0.8571  0.5550  | 0.2579  0.2187  0.0391  0.0000  |  8 hr 58 min
6.25e-7   00006834* 201.00 | 0.3493  0.8884  0.7885  0.7742  0.8571  0.5596  | 0.2693  0.2305  0.0388  0.0000  |  9 hr 07 min
6.25e-7   00006936* 204.00 | 0.3399  0.9048  0.7885  0.7742  0.8571  0.5571  | 0.2625  0.2284  0.0341  0.0000  |  9 hr 15 min
6.25e-7   00007038* 207.00 | 0.3405  0.8981  0.7885  0.7742  0.8571  0.5521  | 0.2750  0.2337  0.0414  0.0000  |  9 hr 23 min
6.25e-7   00007140* 210.00 | 0.3488  0.8824  0.7885  0.7742  0.8571  0.5537  | 0.2700  0.2362  0.0338  0.0000  |  9 hr 31 min
6.25e-7   00007242* 213.00 | 0.3449  0.9003  0.7692  0.7500  0.8571  0.5567  | 0.2660  0.2251  0.0409  0.0000  |  9 hr 40 min
6.25e-7   00007344* 216.00 | 0.3415  0.9048  0.8077  0.8000  0.8571  0.5629  | 0.2672  0.2278  0.0394  0.0000  |  9 hr 49 min
